Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2222","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2225","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","34.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","34.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","78.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","76.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2631","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2631","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","42.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","43.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","77.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","77.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2551","Fc","Donnée calculée"
